LSOA code,LSOA name,LONG__y,LAT_y,Vehicle crime
E01009265,Birmingham 032E,-1.93026,52.5139,22
E01009266,Birmingham 034A,-1.93832,52.5139,23
E01009267,Birmingham 133B,-1.93428,52.5207,10
E01009268,Birmingham 036A,-1.94949,52.513,12
E01009269,Birmingham 034B,-1.94396,52.5161,10
E01009270,Birmingham 034C,-1.93488,52.5102,29
E01009271,Birmingham 034D,-1.94251,52.5115,19
E01009272,Birmingham 036B,-1.95351,52.518,19
E01009273,Birmingham 034E,-1.9468,52.5098,16
E01009274,Birmingham 036C,-1.95041,52.5086,33
E01009275,Birmingham 039A,-1.93991,52.506,33
E01009276,Birmingham 133C,-1.93736,52.531,2
E01009278,Birmingham 133D,-1.92549,52.5248,16
E01009279,Birmingham 133E,-1.93319,52.5262,16
E01009280,Birmingham 100A,-1.93012,52.4341,18
E01009281,Birmingham 099A,-1.9393,52.4315,25
E01009282,Birmingham 100B,-1.92251,52.4327,25
E01009283,Birmingham 079E,-1.91404,52.4461,28
E01009284,Birmingham 096A,-1.93872,52.442,42
E01009286,Birmingham 096C,-1.92579,52.4401,22
E01009288,Birmingham 100C,-1.91974,52.4434,15
E01009289,Birmingham 096E,-1.93365,52.4431,11
E01009290,Birmingham 096F,-1.93009,52.4388,9
E01009291,Birmingham 095D,-1.96248,52.4421,14
E01009292,Birmingham 099B,-1.94926,52.4423,28
E01009293,Birmingham 100D,-1.92154,52.4374,14
E01009294,Birmingham 099C,-1.95477,52.4362,46
E01009295,Birmingham 099D,-1.94621,52.4381,22
E01009296,Birmingham 100E,-1.91616,52.4387,20
E01009297,Birmingham 057A,-1.76668,52.4864,40
E01009298,Birmingham 054D,-1.78749,52.4827,24
E01009299,Birmingham 057B,-1.77725,52.481,46
E01009300,Birmingham 057C,-1.78047,52.4853,39
E01009301,Birmingham 057D,-1.7663,52.4798,46
E01009302,Birmingham 069A,-1.76086,52.4733,25
E01009303,Birmingham 057E,-1.76862,52.4759,35
E01009304,Birmingham 046A,-1.77463,52.4988,19
E01009305,Birmingham 045C,-1.78895,52.4982,13
E01009306,Birmingham 046B,-1.77841,52.4908,21
E01009307,Birmingham 045D,-1.78276,52.4987,18
E01009308,Birmingham 046C,-1.76187,52.4941,19
E01009309,Birmingham 045E,-1.78015,52.4954,32
E01009310,Birmingham 046D,-1.76682,52.4964,24
E01009311,Birmingham 054E,-1.7918,52.4851,19
E01009312,Birmingham 072A,-1.79371,52.4624,12
E01009313,Birmingham 076D,-1.79695,52.4598,5
E01009314,Birmingham 069B,-1.78019,52.462,13
E01009315,Birmingham 081A,-1.78499,52.4558,30
E01009316,Birmingham 081B,-1.79185,52.4582,15
E01009317,Birmingham 081C,-1.77208,52.4622,13
E01009318,Birmingham 081D,-1.76268,52.459,7
E01009319,Birmingham 081E,-1.77574,52.4545,15
