LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009347,Birmingham 049D,52.152,-1.91985,52.4876,Burglary,24
E01009109,Birmingham 123B,71.102,-1.92087,52.4023,Burglary,24
E01009290,Birmingham 096F,14.583,-1.93009,52.4388,Burglary,24
E01009496,Birmingham 109B,18.442,-1.97032,52.421,Burglary,24
E01009274,Birmingham 036C,44.249,-1.95041,52.5086,Burglary,24
E01008933,Birmingham 105A,31.465,-1.86472,52.4306,Burglary,24
E01009679,Coventry 036C,38.142,-1.56055,52.3938,Burglary,24
E01009689,Coventry 030B,19.737,-1.52511,52.4052,Burglary,24
E01009116,Birmingham 127D,11.528,-1.93876,52.4083,Burglary,24
E01010047,Sandwell 023B,37.462,-1.97461,52.5027,Burglary,24
E01009481,Birmingham 044D,41.877,-1.82401,52.495,Burglary,24
E01009835,Dudley 032B,27.861,-2.10447,52.4539,Burglary,24
E01010033,Sandwell 014D,51.838,-2.05782,52.5389,Burglary,24
E01010422,Wolverhampton 027D,31.856,-2.07483,52.571,Burglary,24
E01009866,Dudley 025C,22.589,-2.10491,52.472,Burglary,24
E01010271,Walsall 017A,51.211,-2.00243,52.6049,Burglary,24
E01008962,Birmingham 116D,52.052,-1.95396,52.4129,Burglary,24
E01009209,Birmingham 124D,27.614,-1.97382,52.4047,Burglary,24
E01009649,Coventry 026A,10.686,-1.5404,52.4111,Burglary,24
E01033565,Birmingham 137B,20.657,-1.91264,52.4829,Burglary,24
E01008889,Birmingham 078D,42.823,-1.83296,52.4532,Burglary,24
E01010472,Wolverhampton 015B,37.915,-2.11407,52.5933,Burglary,24
E01009165,Birmingham 129C,41.325,-1.99329,52.3951,Burglary,24
E01009029,Birmingham 090E,43.725,-1.83142,52.4484,Burglary,24
E01009261,Birmingham 073E,19.121,-1.9825,52.4633,Burglary,24
E01009360,Birmingham 047D,52.362,-1.92957,52.4951,Burglary,24
E01008978,Birmingham 121B,78.083,-1.89045,52.4067,Burglary,24
E01009354,Birmingham 036F,56.503,-1.94508,52.5035,Burglary,24
E01010306,Walsall 001C,19.304,-1.94023,52.6468,Burglary,24
E01009231,Birmingham 017D,22.745,-1.8828,52.5354,Burglary,24
E01010285,Walsall 006B,19.125,-1.99881,52.6231,Burglary,24
E01010183,Solihull 029D,7.956,-1.8039,52.3758,Burglary,24
E01008942,Birmingham 117A,42.421,-1.87587,52.4106,Burglary,24
E01010005,Sandwell 030D,29.311,-2.00551,52.4882,Burglary,23
E01009410,Birmingham 026D,46.42,-1.86503,52.5238,Burglary,23
E01009579,Coventry 007B,53.177,-1.46395,52.433,Burglary,23
E01010006,Sandwell 030E,23.447,-2.01226,52.4835,Burglary,23
E01008907,Birmingham 040B,67.824,-1.91596,52.5013,Burglary,23
E01009495,Birmingham 106E,51.745,-1.98066,52.4272,Burglary,23
E01009049,Birmingham 032A,36.808,-1.91789,52.5139,Burglary,23
E01010237,Solihull 004C,30.462,-1.74935,52.4993,Burglary,23
E01009992,Sandwell 017B,34.961,-1.99605,52.5267,Burglary,23
E01009526,Coventry 010B,12.743,-1.54818,52.4322,Burglary,23
E01010486,Wolverhampton 011D,53.015,-2.11538,52.6066,Burglary,23
E01009282,Birmingham 100B,37.399,-1.92251,52.4327,Burglary,23
E01009998,Sandwell 010F,35.524,-2.00182,52.5383,Burglary,23
E01010246,Walsall 022B,12.672,-1.935,52.589,Burglary,23
E01009292,Birmingham 099B,15.243,-1.94926,52.4423,Burglary,23
E01009138,Birmingham 060A,25.09,-1.95853,52.4799,Burglary,23
E01010455,Wolverhampton 029E,44.529,-2.09762,52.5685,Burglary,23
E01009906,Dudley 035C,36.113,-2.15527,52.4578,Burglary,23
E01009255,Birmingham 080E,31.549,-1.98733,52.4536,Burglary,23
E01008981,Birmingham 110D,21.275,-1.89741,52.4295,Burglary,23
E01009853,Dudley 042B,5.337,-2.12152,52.4435,Burglary,23
E01010072,Sandwell 021D,26.058,-2.05793,52.5164,Burglary,23
E01009541,Coventry 039C,43.027,-1.46468,52.3808,Burglary,23
E01009176,Birmingham 105E,27.037,-1.87011,52.4382,Burglary,23
E01008881,Birmingham 067A,41.179,-1.81463,52.4668,Burglary,23
E01009066,Birmingham 073A,18.231,-1.96163,52.4685,Burglary,23
E01010125,Solihull 006A,57.96,-1.7367,52.4807,Burglary,23
E01009650,Coventry 020E,31.16,-1.52269,52.4107,Burglary,23
