LSOA code,LSOA name,LSOA IMD Score_y,LONG__y,LAT_y,Crime type,0
E01009570,Coventry 015B,44.637,-1.49801,52.427,Bicycle theft,3
E01009292,Birmingham 099B,15.243,-1.94926,52.4423,Bicycle theft,3
E01009568,Coventry 009D,33.154,-1.50129,52.432,Bicycle theft,3
E01010443,Wolverhampton 018B,54.494,-2.10653,52.5832,Bicycle theft,3
E01009290,Birmingham 096F,14.583,-1.93009,52.4388,Bicycle theft,2
E01010426,Wolverhampton 035A,26.514,-2.13456,52.5751,Bicycle theft,2
E01009132,Birmingham 014D,56.75,-1.86424,52.545,Bicycle theft,2
E01009399,Birmingham 083E,62.315,-1.87566,52.4533,Bicycle theft,2
E01009310,Birmingham 046D,56.875,-1.76682,52.4964,Bicycle theft,2
E01009339,Birmingham 140A,52.522,-1.85579,52.4583,Bicycle theft,2
E01009286,Birmingham 096C,14.443,-1.92579,52.4401,Bicycle theft,2
E01009315,Birmingham 081A,34.711,-1.78499,52.4558,Bicycle theft,2
E01010475,Wolverhampton 015D,19.536,-2.0936,52.6034,Bicycle theft,2
E01010343,Walsall 034E,42.688,-1.98732,52.5723,Bicycle theft,2
E01010449,Wolverhampton 029A,35.46,-2.10864,52.5658,Bicycle theft,2
E01009018,Birmingham 090B,37.159,-1.83199,52.4452,Bicycle theft,2
E01010516,Wolverhampton 026D,10.666,-2.15766,52.5667,Bicycle theft,2
E01010447,Wolverhampton 018E,36.735,-2.09348,52.5858,Bicycle theft,2
E01010415,Wolverhampton 027B,44.012,-2.05708,52.572,Bicycle theft,2
E01009103,Birmingham 029E,60.475,-1.79272,52.5141,Bicycle theft,2
E01010381,Walsall 020D,35.531,-2.0418,52.6009,Bicycle theft,2
E01009301,Birmingham 057D,56.072,-1.7663,52.4798,Bicycle theft,2
E01009210,Birmingham 126B,40.987,-1.9644,52.406,Bicycle theft,2
E01009036,Birmingham 108D,18.644,-1.84034,52.422,Bicycle theft,2
E01009409,Birmingham 026C,43.819,-1.84918,52.5234,Bicycle theft,2
E01010321,Walsall 010B,33.736,-1.96078,52.6151,Bicycle theft,2
E01008914,Birmingham 050C,48.135,-1.89878,52.4896,Bicycle theft,2
E01010325,Walsall 024C,23.416,-1.97013,52.5957,Bicycle theft,2
E01010424,Wolverhampton 022D,25.664,-2.07432,52.5776,Bicycle theft,2
E01009216,Birmingham 131D,29.53,-1.96263,52.3944,Bicycle theft,2
E01033645,Birmingham 088E,47.045,-1.89818,52.4559,Bicycle theft,2
E01009102,Birmingham 028D,45.201,-1.81904,52.5125,Bicycle theft,2
E01009305,Birmingham 045C,63.723,-1.78895,52.4982,Bicycle theft,2
E01009358,Birmingham 047B,64.81,-1.92363,52.4983,Bicycle theft,2
E01008999,Birmingham 031B,42.242,-1.84279,52.5149,Bicycle theft,2
E01010451,Wolverhampton 029C,29.038,-2.08859,52.5578,Bicycle theft,2
E01010397,Walsall 011B,40.845,-2.03686,52.6158,Bicycle theft,2
E01009366,Birmingham 084A,54.819,-1.89445,52.4605,Bicycle theft,2
E01010435,Wolverhampton 006A,51.154,-2.12541,52.6104,Bicycle theft,2
E01032886,Solihull 029G,7.638,-1.84228,52.3795,Bicycle theft,2
E01009274,Birmingham 036C,44.249,-1.95041,52.5086,Bicycle theft,2
E01010549,Wolverhampton 014D,16.818,-2.1822,52.5929,Bicycle theft,2
E01033616,Birmingham 135D,58.793,-1.90313,52.4738,Bicycle theft,2
E01010456,Wolverhampton 004A,68.126,-2.10242,52.6171,Bicycle theft,2
E01009367,Birmingham 083A,67.159,-1.88067,52.4609,Bicycle theft,2
E01009116,Birmingham 127D,11.528,-1.93876,52.4083,Bicycle theft,2
E01010403,Walsall 025B,37.693,-2.0452,52.5872,Bicycle theft,2
E01032536,Coventry 001F,27.154,-1.47407,52.4538,Bicycle theft,2
E01032887,Sandwell 018E,45.813,-2.01443,52.5239,Bicycle theft,2
E01009071,Birmingham 087B,28.171,-1.96404,52.4524,Bicycle theft,2
E01009182,Birmingham 092A,58.12,-1.89085,52.4528,Bicycle theft,2
E01009070,Birmingham 073B,13.977,-1.97157,52.4582,Bicycle theft,2
E01010520,Wolverhampton 030E,9.504,-2.14408,52.5596,Bicycle theft,2
E01009134,Birmingham 011F,60.126,-1.88209,52.5438,Bicycle theft,2
E01033559,Birmingham 049E,20.4,-1.91121,52.4902,Bicycle theft,2
E01009283,Birmingham 079E,19.934,-1.91404,52.4461,Bicycle theft,2
E01033629,Birmingham 106F,43.801,-1.9929,52.435,Bicycle theft,2
E01009236,Birmingham 019B,23.288,-1.91109,52.5373,Bicycle theft,2
E01010377,Walsall 020B,26.268,-2.05259,52.5969,Bicycle theft,2
E01009031,Birmingham 105C,20.967,-1.85231,52.4304,Bicycle theft,2
E01033630,Birmingham 031H,35.182,-1.85212,52.5218,Bicycle theft,2
E01010347,Walsall 003C,35.979,-1.97351,52.6331,Bicycle theft,2
E01009280,Birmingham 100A,21.777,-1.93012,52.4341,Bicycle theft,2
E01010541,Wolverhampton 003C,46.323,-2.15421,52.6187,Bicycle theft,2
E01009074,Birmingham 085B,54.251,-1.97462,52.4544,Bicycle theft,2
E01010375,Walsall 018E,46.96,-1.98784,52.5943,Bicycle theft,2
E01009175,Birmingham 104A,26.094,-1.88294,52.4332,Bicycle theft,2
E01009245,Birmingham 016C,25.666,-1.92682,52.5433,Bicycle theft,2
E01009113,Birmingham 128C,69.379,-1.93479,52.389,Bicycle theft,2
E01008907,Birmingham 040B,67.824,-1.91596,52.5013,Bicycle theft,2
E01008894,Birmingham 089E,37.129,-1.82147,52.448,Bicycle theft,2
E01009374,Birmingham 084B,61.941,-1.8888,52.4603,Bicycle theft,2
E01010356,Walsall 039C,12.341,-1.92059,52.5671,Bicycle theft,2
E01009179,Birmingham 104D,19.439,-1.88677,52.4295,Bicycle theft,2
E01010524,Wolverhampton 013C,44.93,-2.14685,52.5988,Bicycle theft,2
E01009307,Birmingham 045D,54.64,-1.78276,52.4987,Bicycle theft,2
E01009762,Dudley 006F,62.432,-2.10266,52.5227,Bicycle theft,2
E01009569,Coventry 015A,45.33,-1.49027,52.4291,Bicycle theft,2
E01009983,Sandwell 009B,45.048,-2.04671,52.5357,Bicycle theft,2
E01008965,Birmingham 107D,21.124,-1.9125,52.4289,Bicycle theft,2
E01010178,Solihull 013D,31.69,-1.81053,52.4398,Bicycle theft,2
E01009554,Coventry 034A,12.068,-1.53586,52.3991,Bicycle theft,2
E01008881,Birmingham 067A,41.179,-1.81463,52.4668,Bicycle theft,2
E01009558,Coventry 034E,14.035,-1.52492,52.3995,Bicycle theft,2
E01009980,Sandwell 016D,36.968,-2.0421,52.525,Bicycle theft,2
E01009581,Coventry 007C,47.413,-1.4547,52.431,Bicycle theft,2
E01010000,Sandwell 030A,22.905,-2.00905,52.4805,Bicycle theft,2
E01010148,Solihull 005C,49.922,-1.75681,52.4927,Bicycle theft,2
E01010141,Solihull 006D,51.758,-1.73915,52.4855,Bicycle theft,2
E01010143,Solihull 007C,51.303,-1.74974,52.477,Bicycle theft,2
E01009585,Coventry 007E,65.988,-1.46557,52.4401,Bicycle theft,2
E01010002,Sandwell 030B,23.789,-2.01816,52.4877,Bicycle theft,2
E01009580,Coventry 019A,20.564,-1.43538,52.4211,Bicycle theft,2
E01009999,Sandwell 033E,33.643,-2.03072,52.4798,Bicycle theft,2
E01009577,Coventry 007A,70.862,-1.46342,52.4371,Bicycle theft,2
E01009752,Dudley 017B,48.688,-2.12848,52.4931,Bicycle theft,2
E01009549,Coventry 037B,5.935,-1.51164,52.3966,Bicycle theft,2
E01010211,Solihull 023C,21.292,-1.82942,52.3965,Bicycle theft,2
