LSOA code,LSOA name,LONG_,LAT,Bicycle theft
E01009541,Coventry 039C,-1.46468,52.3808,2
E01009542,Coventry 039D,-1.46827,52.3858,2
E01009543,Coventry 033D,-1.43636,52.3997,4
E01009548,Coventry 031A,-1.50403,52.4002,12
E01009549,Coventry 037B,-1.51164,52.3966,2
E01009553,Coventry 031B,-1.52066,52.4029,10
E01009554,Coventry 034A,-1.53586,52.3991,2
E01009555,Coventry 034B,-1.54994,52.3961,4
E01009556,Coventry 034C,-1.53304,52.3965,4
E01009557,Coventry 034D,-1.53655,52.3922,3
E01009558,Coventry 034E,-1.52492,52.3995,2
E01009562,Coventry 040C,-1.49945,52.3853,1
E01009563,Coventry 040D,-1.51201,52.3828,1
E01009566,Coventry 009B,-1.50445,52.4274,5
E01009568,Coventry 009D,-1.50129,52.432,3
E01009569,Coventry 015A,-1.49027,52.4291,2
E01009570,Coventry 015B,-1.49801,52.427,3
E01009571,Coventry 015C,-1.49045,52.4262,1
E01009572,Coventry 015D,-1.49547,52.4218,7
E01009574,Coventry 015F,-1.50606,52.4159,21
E01009575,Coventry 005B,-1.49578,52.4435,12
E01009576,Coventry 008A,-1.44958,52.4353,1
E01009577,Coventry 007A,-1.46342,52.4371,2
E01009579,Coventry 007B,-1.46395,52.433,3
E01009580,Coventry 019A,-1.43538,52.4211,2
E01009581,Coventry 007C,-1.4547,52.431,2
E01009582,Coventry 008C,-1.44401,52.4303,5
E01009584,Coventry 007D,-1.45566,52.4468,1
E01009585,Coventry 007E,-1.46557,52.4401,2
E01009591,Coventry 002B,-1.51934,52.4498,1
E01009592,Coventry 043B,-1.49999,52.4474,2
E01009597,Coventry 043D,-1.50657,52.4427,3
E01009599,Coventry 013A,-1.46928,52.43,3
E01009604,Coventry 004A,-1.47976,52.4443,2
E01009607,Coventry 004C,-1.47352,52.4362,5
E01009608,Coventry 004D,-1.47709,52.4387,2
E01009609,Coventry 005D,-1.4866,52.4334,1
E01009615,Coventry 027A,-1.47946,52.4088,10
E01009616,Coventry 027B,-1.47507,52.4093,3
E01009617,Coventry 027C,-1.47325,52.4067,2
E01009619,Coventry 038D,-1.48503,52.4011,6
E01009621,Coventry 027F,-1.47791,52.4006,2
E01009624,Coventry 011B,-1.51614,52.431,2
E01009627,Coventry 012C,-1.52132,52.4242,3
E01009628,Coventry 012D,-1.52591,52.4214,1
E01009629,Coventry 020A,-1.51051,52.4191,2
E01009631,Coventry 020C,-1.5223,52.4155,3
E01009632,Coventry 020D,-1.5141,52.4139,1
E01009633,Coventry 028A,-1.49183,52.4007,2
E01009634,Coventry 028B,-1.49617,52.4,1
E01009635,Coventry 028C,-1.49578,52.4068,19
E01009636,Coventry 024A,-1.48974,52.4133,5
E01009637,Coventry 024B,-1.4994,52.4175,2
E01009638,Coventry 024C,-1.5018,52.4133,26
E01009639,Coventry 024D,-1.49582,52.4151,1
E01009641,Coventry 024F,-1.49724,52.4103,7
E01009642,Coventry 031C,-1.51165,52.408,155
E01009643,Coventry 017A,-1.54211,52.4157,1
E01009647,Coventry 017C,-1.52895,52.4137,8
E01009649,Coventry 026A,-1.5404,52.4111,1
E01009650,Coventry 020E,-1.52269,52.4107,2
E01009651,Coventry 031D,-1.52229,52.4076,4
E01009655,Coventry 016A,-1.47886,52.422,4
E01009656,Coventry 016B,-1.48268,52.4187,2
E01009659,Coventry 016C,-1.48511,52.4147,1
E01009660,Coventry 021D,-1.47807,52.4135,3
E01009661,Coventry 028D,-1.48641,52.4089,13
E01009662,Coventry 016D,-1.48249,52.4274,9
E01009664,Coventry 016E,-1.47736,52.4271,2
E01009666,Coventry 041A,-1.52877,52.3859,2
E01009668,Coventry 041C,-1.52943,52.3806,2
E01009671,Coventry 042C,-1.55095,52.372,26
E01009672,Coventry 040E,-1.51279,52.3747,1
E01009674,Coventry 029A,-1.58252,52.4001,2
E01009679,Coventry 036C,-1.56055,52.3938,2
E01009681,Coventry 032B,-1.56264,52.4066,1
E01009683,Coventry 032D,-1.56082,52.3994,3
E01009684,Coventry 026B,-1.5566,52.4096,1
E01009686,Coventry 026D,-1.55169,52.4036,4
E01009687,Coventry 026E,-1.54435,52.407,1
E01009688,Coventry 030A,-1.53785,52.4061,2
E01009689,Coventry 030B,-1.52511,52.4052,7
E01009691,Coventry 030D,-1.52923,52.4036,2
E01009695,Coventry 023A,-1.56525,52.4105,1
E01009699,Coventry 029B,-1.57542,52.4109,1
E01009700,Coventry 029C,-1.58623,52.4089,1
E01009701,Coventry 029D,-1.58734,52.4046,1
E01009702,Coventry 029E,-1.57684,52.4049,5
E01009703,Coventry 025C,-1.59965,52.4075,6
E01009706,Coventry 025D,-1.59707,52.4191,1
E01009707,Coventry 033E,-1.44152,52.4066,1
E01009712,Coventry 018C,-1.45532,52.4198,10
E01009713,Coventry 019B,-1.45179,52.4175,1
E01009721,Dudley 031A,-2.15065,52.4646,3
E01009723,Dudley 028B,-2.13154,52.4683,1
E01009731,Dudley 023A,-2.15047,52.4704,1
E01009733,Dudley 039B,-2.05421,52.448,1
E01009741,Dudley 022A,-2.11466,52.4793,2
E01009744,Dudley 022B,-2.12643,52.48,2
E01009746,Dudley 022C,-2.11577,52.4882,2
E01009749,Dudley 016A,-2.1393,52.5062,1
