OBJECTID,WD21CD,WD21NM,WD21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
4847,E05011274,St Neots Eynesbury, ,518620,259273,-0.26501,52.21891,{E137F6C4-8F4E-449F-8037-B34E0F72A650},9434.471398,3726455.81
4848,E05011275,St Neots Priory Park & Little Paxton, ,518433,262063,-0.26677001,52.24403,{ADD0DA43-38D4-492B-9C1C-587FCBCC6A69},17120.80809,8361421.237
4849,E05011276,Sawtry, ,519437,280866,-0.24541,52.412781,{93D906C8-F04C-4421-B2DA-B55393CAD48E},54296.01625,67044020.76
4850,E05011277,Somersham, ,535893,277834,-0.00484,52.381699,{1FA92FED-75EE-49B3-ADC4-501A113E0A17},26434.85171,18896905.58
4851,E05011278,"Stilton, Folksworth & Washingley", ,515883,288167,-0.2951,52.479149,{8DB4D62E-C2CE-4E7D-A80D-35367AD53783},80583.76314,115889612.8
4852,E05011279,The Stukeleys, ,521574,274838,-0.21619,52.358139,{13969A45-5B57-44D5-9AC5-1E09D8BD34E5},28477.07508,19683213.95
4853,E05011280,Warboys, ,529051,280905,-0.10412,52.41095,{EDAE4E21-288D-48CE-9CB9-246DB4CCDA09},63263.24317,97785450.26
4854,E05011281,Yaxley, ,521411,292738,-0.21208,52.51902,{48173624-2CC2-4D01-936B-21A515C59E27},33530.04781,31751065.83
4855,E05011282,Balsham, ,559735,251195,0.33256501,52.135971,{2688AB0C-C2AC-4FF0-ACC6-279C2CF83EEB},46492.4834,75249477.19
4856,E05011283,Bar Hill, ,538212,263512,0.023329001,52.252441,{FDDD2320-0033-4344-8E37-A4600FADC380},6126.758079,1468177.209
4857,E05011284,Barrington, ,534540,251537,-0.03517,52.145748,{6762C591-2CB5-4391-9832-3150D4BF036C},40718.8815,36680713.51
4858,E05011285,Bassingbourn, ,533309,243307,-0.056370001,52.072102,{A71BB564-69BE-4AA0-9492-3262C91A1017},23520.77476,24099822.72
4859,E05011286,Caldecote, ,531601,255741,-0.076470003,52.184231,{A9F3BE3E-8398-4D6E-89D2-8559F592F93A},48029.37006,43660204.11
4860,E05011287,Cambourne, ,532009,259252,-0.069140002,52.215679,{233865AE-50C4-4839-A903-3AA72F6E5625},8967.361321,4123830.805
4861,E05011288,Caxton & Papworth, ,529846,261062,-0.10009,52.23246,{86F7F9AF-4A96-4FB3-95B9-BF9180BAA445},63341.57422,77333075.43
4862,E05011289,Cottenham, ,544889,268659,0.123281,52.29697,{D58EEB88-F8A7-4638-BE6B-43BB765DF838},31758.00004,34809271.16
4863,E05011290,Duxford, ,548618,244153,0.16719,52.075809,{5AE6A153-75F7-4B75-A219-875DDC7DF0D7},40739.65084,46414464.29
4864,E05011291,Fen Ditton & Fulbourn, ,552891,256589,0.235075,52.186371,{55EEC10C-D29F-4FFB-81FC-169D08EB013E},42629.95233,66344948.12
4865,E05011292,Foxton, ,542081,242335,0.071116999,52.061192,{50C43F42-27B9-44AE-9681-B7AA57B2204E},38950.06704,38439096.82
4866,E05011293,Gamlingay, ,524405,252289,-0.18294001,52.154881,{385147C8-C8EE-4E55-B873-8E545875C91D},17737.49657,13045783.1
4867,E05011294,Girton, ,539865,260959,0.046473,52.22908,{887226BF-FB9E-4040-BFE7-2421A2FDD21D},26708.74827,23943407.56
4868,E05011295,Hardwick, ,536690,257374,-0.00143,52.19767,{EB0F994F-CC56-4CF8-879F-98CE236665E1},16685.18568,11031903.24
4869,E05011296,Harston & Comberton, ,540557,255110,0.054173999,52.176361,{A492A68A-CCA9-42F1-B960-B3179ABAE388},44175.11366,50051257.5
4870,E05011297,Histon & Impington, ,544266,263423,0.111916,52.250092,{79996DE9-F71A-4437-9A96-D18CEF03B85F},18264.16786,14441079.86
4871,E05011298,Linton, ,553717,246056,0.24238899,52.091511,{9799EA68-ABF1-4BD7-BA6B-5E838DAA935E},50562.3606,58032439.4
4872,E05011299,Longstanton, ,540305,265578,0.054827999,52.27047,{3D6C789C-7DA2-43DB-9383-C239AA9867A2},22361.99624,20100264.52
4873,E05011300,Melbourn, ,537362,244505,0.003202,52.081871,{C29D3BE1-6E6F-4689-AEA0-7251783E5DE5},35737.99262,39001214.99
4874,E05011301,Milton & Waterbeach, ,549487,266864,0.18986,52.27961,{8138E7AD-9035-4C85-A055-609930AD2020},37118.65697,40627789.58
4875,E05011302,Over & Willingham, ,540310,271391,0.057319,52.322701,{747ADC5E-8013-414B-8DC0-A4269F8FCF93},27397.81905,33896987.9
4876,E05011303,Sawston, ,548093,249828,0.162,52.12693,{F98DE673-9DAD-48B4-B95A-80F2CC3325D1},14007.49654,7714197.947
4877,E05011304,Shelford, ,547036,251962,0.147493,52.146389,{2A5C3C21-009D-47F5-A298-C033858FE8F2},25470.21472,21082322.78
4878,E05011305,Swavesey, ,536355,266824,-0.00252,52.282661,{D5D3C82E-56B0-41F5-BACA-8271C769E66B},27525.47836,26621709.75
4879,E05011306,The Mordens, ,530086,245792,-0.10242,52.095188,{EC0A65C6-FF6C-4A41-B8EB-BB67442075DA},46734.07064,71382864.41
4880,E05011307,Whittlesford, ,544868,246927,0.11369,52.101719,{ED3275FE-5580-420D-8F97-78515DADAE57},27031.86678,22028501.74
4881,E05011308,Bishop Monkton & Newby, ,438541,469347,-1.41187,54.118561,{00C89D63-1600-4390-ADC3-07318E230001},58963.81109,71281056.78
4882,E05011309,Boroughbridge, ,440358,465014,-1.38465,54.079479,{E377FCF8-96CB-499A-9FB1-83716BACD1A7},19681.12434,15168269.89
4883,E05011310,Claro, ,438585,459760,-1.41241,54.032398,{DD58E274-5192-4362-B738-1D362A825A72},61066.02597,68048564.69
4884,E05011311,Fountains & Ripley, ,426734,466478,-1.59275,54.093521,{C418542C-43F9-4EB4-BC33-D45B677FABEB},85888.29441,126152957
4885,E05011312,Harrogate Bilton Grange, ,430219,457093,-1.54039,54.008991,{EC90C5F1-B4F8-495C-B993-F932C757C284},4097.371314,637426.2816
4886,E05011313,Harrogate Bilton Woodfield, ,431532,456869,-1.52038,54.006901,{58FAF777-7AEF-4C5A-8D9E-B3935DF582E9},5135.306124,1073696.244
4887,E05011314,Harrogate Central, ,430411,455363,-1.53764,53.993431,{E527352D-226F-48C7-82F4-C67FBD6E6FB7},4905.281009,889069.8752
4888,E05011315,Harrogate Coppice Valley, ,430196,456310,-1.54082,54.001949,{2188BE0C-46C8-4469-B88D-E93A6CAD38C8},3745.801498,684551.6061
4889,E05011316,Harrogate Duchy, ,428679,455485,-1.5640399,53.994621,{1C313859-6B52-4398-B3CC-C7A390991446},9960.376982,2720489.803
4890,E05011317,Harrogate Fairfax, ,432179,455378,-1.5106699,53.993462,{E0B4381E-CF1D-44D8-BBAD-54180BFA8660},4312.580374,831622.9053
4891,E05011318,Harrogate Harlow, ,428509,454129,-1.5667599,53.982449,{73A2C2FE-90D8-4334-A5FB-94724FC05A40},7537.709971,2451662.891
4892,E05011319,Harrogate High Harrogate, ,431140,455865,-1.5264699,53.997898,{D305FFD2-D1AE-45BA-BB4A-D31B4D1DCEDA},5718.240286,1035371.345
4893,E05011320,Harrogate Hookstone, ,432919,454588,-1.49947,53.986309,{37CC56A4-E4B0-43DE-A78C-E7607D70E02F},9819.293288,3208399.171
4894,E05011321,Harrogate Kingsley, ,432205,456109,-1.5102,54.000031,{7D7D36C0-71A7-4005-9421-91DD65874391},4336.706892,935954.6269
4895,E05011322,Harrogate New Park, ,429266,456884,-1.55495,54.00716,{47E4D1B7-B1B8-4CB0-9E1B-40C0AAEDD19C},5905.200625,1312937.346
4896,E05011323,Harrogate Oatlands, ,431353,453269,-1.5234801,53.974548,{529399B4-D5B0-4FB1-B39F-16FC37F8BB7D},8444.175006,2613757.055
4897,E05011324,Harrogate Old Bilton, ,431514,457859,-1.52056,54.0158,{F31AC063-AEE1-4D50-856A-3EFCC1C2CF2D},10964.86661,4047165.575
4898,E05011325,Harrogate Pannal, ,430481,452033,-1.5369,53.963501,{8E596A94-7A86-46D7-A0EF-682093428284},13964.33402,5678927.28
4899,E05011326,Harrogate St Georges, ,429924,453838,-1.54521,53.979752,{EF9C1D66-BF87-47AA-8BE3-334339A3A6A4},5232.962975,1307987.106
4900,E05011327,Harrogate Saltergate, ,428246,456421,-1.57056,54.003059,{9626D342-E376-4B4E-AE67-160E9B23C60C},5837.659097,1148407.854
4901,E05011328,Harrogate Starbeck, ,433146,456311,-1.49582,54.001781,{9B8889AB-8DA8-4596-9F89-F07FCC24CAF2},5210.575375,1356047.859
4902,E05011329,Harrogate Stray, ,431283,454678,-1.52441,53.987221,{2A6ADE2D-8BFD-4375-A655-07C713247991},6290.809439,1731023.07
4903,E05011330,Harrogate Valley Gardens, ,429588,454824,-1.55024,53.988628,{C11EA2EF-6CDE-46E0-8647-1427A941798C},4466.012717,910266.7431
4904,E05011331,Killinghall & Hampsthwaite, ,427185,457081,-1.5866899,54.009048,{47979F4F-7740-4A6B-B65A-F7E92F23790C},23359.65299,15595362.03
4905,E05011332,Knaresborough Aspin & Calcutt, ,435344,456073,-1.46232,53.9995,{106E10B4-43A8-4FE9-BABD-28CC2E7314C3},12477.8557,3927287.484
4906,E05011333,Knaresborough Castle, ,434451,457267,-1.4758,54.010288,{49137FC7-2623-4A9B-88E6-DFE1DC312A41},11835.03251,3141939.09
4907,E05011334,Knaresborough Eastfield, ,436654,457878,-1.44212,54.015629,{65DE27B9-DE8A-48A9-91D7-A26AD048028B},11438.06329,3229830.746
4908,E05011335,Knaresborough Scriven Park, ,435086,458678,-1.46595,54.02293,{71EC4741-2901-45DC-9742-7D645C625FAD},13051.51558,5002503.051
4909,E05011336,Marston Moor, ,447747,450285,-1.27403,53.946491,{E1F62978-AFDE-4250-B6BA-61F8548F6100},64926.89769,79520788.42
4910,E05011337,Masham & Kirkby Malzeard, ,416284,475949,-1.75201,54.179081,{792E8954-5A9D-4B38-A43C-8C73B76998FD},71733.63274,167528867.5
4911,E05011338,Nidd Valley, ,419567,460520,-1.7027,54.040298,{71F96BD1-0938-4651-A650-A0531BC49C05},49017.9555,73635103.46
4912,E05011339,Ouseburn, ,446817,459580,-1.28677,54.030109,{790ECC96-6D76-4685-9795-AE8E4046BEA2},53751.08447,74872677.21
4913,E05011340,Pateley Bridge & Nidderdale Moors, ,410548,467655,-1.84018,54.104679,{3E3DD9B7-FFC5-44F5-8182-35092A31F952},89658.06657,218067355.9
4914,E05011341,Ripon Minster, ,431845,470613,-1.5141701,54.130402,{C0D1D117-4258-449A-9D9E-B1B0959FB10A},8173.400941,1866700.476
4915,E05011342,Ripon Moorside, ,430707,470139,-1.53163,54.126209,{B26303F1-F0C5-45A9-A71B-825A085E618F},7089.790768,1362817.321
4916,E05011343,Ripon Spa, ,430050,471642,-1.54154,54.139751,{1E3D5346-E39D-4C2B-8F1B-A00C163611FB},15488.58389,4164328.404
4917,E05011344,Ripon Ure Bank, ,431178,472075,-1.52423,54.143581,{A2C77617-7EC4-4822-AFCB-9B921C835922},8968.836512,2545407.664
4918,E05011345,Spofforth with Lower Wharfedale, ,437174,450768,-1.43505,53.951691,{B7953C92-9367-4CF7-93FD-203A70179A5D},55069.76161,80763581.5
4919,E05011346,Washburn, ,419004,451246,-1.71188,53.95697,{F85F5B2D-98F1-4C2B-9272-035F621B2263},79856.0814,171443103.8
4920,E05011347,Wathvale, ,433820,475006,-1.4834599,54.16975,{7F3B2BEF-33C9-41BB-BF00-3BF2367A1BD1},62080.77431,87224627.56
4921,E05011348,"Adderbury, Bloxham and Bodicote", ,445450,235947,-1.3390599,52.0201,{FF7DE11A-2215-4371-B465-0F3603964D3D},38558.79797,31316842.76
4922,E05011349,Banbury Calthorpe and Easington, ,446764,238634,-1.31955,52.04414,{C5DD9DD0-5AFA-4143-A5E4-798E5401C438},21713.82594,8348631.324
4923,E05011350,Ancoats & Beswick, ,386198,398230,-2.20943,53.480621,{95187F2D-18CD-4AE2-B3A6-7F48B75AC6BB},8138.154053,2939192.868
4924,E05011351,Ardwick, ,386015,396661,-2.2121201,53.466511,{12C574D3-E073-464E-90DB-C11235CCC937},9244.070986,4045605.396
4925,E05011352,Baguley, ,381171,388024,-2.28457,53.388729,{AE3C04C3-64DB-4911-9E8C-C3B6BF901341},10010.40526,3832382.376
4926,E05011353,Brooklands, ,380793,389733,-2.29036,53.404079,{218505BE-58AE-483D-8C31-2067A53C7BD8},14073.35931,4308500.419
4927,E05011354,Burnage, ,386475,392774,-2.20502,53.431591,{58A10155-14FB-417E-9FF8-78B8F259C109},7964.308727,2634659.886
