OBJECTID,LAD19CD,LAD19NM,LAD19NMW,BNG_E,BNG_N,LONG,LAT,SHAPE_Length,SHAPE_Area
306,E09000022,Lambeth, ,531118,175629,-0.11385,51.464451,34179.58334,-27249336.34
307,E09000023,Lewisham, ,537889,173344,-0.01733,51.44231,41088.60785,-35317029.56
308,E09000024,Merton, ,526069,169507,-0.18866999,51.410568,32349.06014,-37624739.94
309,E09000025,Newham, ,540715,183344,0.027288999,51.531471,31823.21207,-38578079.78
310,E09000026,Redbridge, ,543511,189478,0.070070997,51.585892,45768.73733,-56442208.88
311,E09000027,Richmond upon Thames, ,519005,172650,-0.28913999,51.44035,52354.14966,-58761172.8
312,E09000028,Southwark, ,533947,175866,-0.073059998,51.465919,33627.23315,-29913439.57
313,E09000029,Sutton, ,527356,163640,-0.17227,51.357559,39844.42333,-43846970.97
314,E09000030,Tower Hamlets, ,536343,181452,-0.036430001,51.515541,26802.80715,-21574978.83
315,E09000031,Waltham Forest, ,537327,190277,-0.01881,51.594608,33339.36535,-38807964.33
316,E09000032,Wandsworth, ,525151,174138,-0.20023,51.4524,37404.60698,-35220161.11
317,E09000033,Westminster, ,528268,180870,-0.15295,51.512199,27156.26244,-22030048.53
318,N09000001,Antrim and Newtownabbey, ,130813,541285,-6.1775999,54.693859,165145.0879,-728186553.5
319,N09000002,"Armagh City, Banbridge and Craigavon", ,112110,508158,-6.4345498,54.3867,243056.4471,-1437068553
320,N09000003,Belfast, ,146465,529747,-5.9253502,54.59853,65908.65383,-137716630.5
321,N09000004,Causeway Coast and Glens, ,106168,581420,-6.5995998,55.039619,381750.4174,-1985534511
322,N09000005,Derry City and Strabane, ,51779,559566,-7.42064,54.80904,271488.9563,-1251241563
323,N09000006,Fermanagh and Omagh, ,41233,513013,-7.5271001,54.385208,426624.235,-3012114877
324,N09000007,Lisburn and Castlereagh, ,138712,518920,-6.03545,54.49752,167383.5239,-510438068.2
325,N09000008,Mid and East Antrim, ,133943,560151,-6.14645,54.86462,234863.3303,-1061355467
326,N09000009,Mid Ulster, ,83920,528564,-6.8888998,54.552731,318433.3084,-1957293803
327,N09000010,"Newry, Mourne and Down", ,133006,480432,-6.0889101,54.149529,380093.278,-1682340589
328,N09000011,Ards and North Down, ,164321,524944,-5.64568,54.564091,204689.1045,-566472954.6
329,S12000005,Clackmannanshire, ,291159,696335,-3.7534399,56.14724,83968.80248,-163912627.3
330,S12000006,Dumfries and Galloway, ,270645,579856,-4.0286298,55.09621,830301.1957,-6676314851
331,S12000008,East Ayrshire, ,255398,624935,-4.2905698,55.496738,340964.5491,-1270342031
332,S12000010,East Lothian, ,354854,672351,-2.72435,55.94207,199851.9626,-700937343.5
333,S12000011,East Renfrewshire, ,251929,653115,-4.3606,55.74868,93882.514,-174249494.3
334,S12000013,Na h-Eileanan Siar, ,126473,932862,-6.6572199,58.199379,3670593.192,-3268396250
335,S12000014,Falkirk, ,289661,679536,-3.7706001,55.99604,125315.3221,-314933499.6
336,S12000017,Highland, ,241018,858292,-4.6610298,57.586571,4851874.335,-26473949417
337,S12000018,Inverclyde, ,227922,670894,-4.75387,55.900299,75081.02572,-173624709.4
338,S12000019,Midlothian, ,330088,659217,-3.1173799,55.82111,126471.0628,-355271573
339,S12000020,Moray, ,328024,843593,-3.20187,57.47683,401711.6188,-2257153741
340,S12000021,North Ayrshire, ,228996,651640,-4.7245998,55.72789,352557.0668,-903820619.6
341,S12000023,Orkney Islands, ,348293,1006584,-2.90025,58.94334,1525842.606,-1086492508
342,S12000026,Scottish Borders, ,345891,626135,-2.85866,55.52594,525406.7076,-4742684960
343,S12000027,Shetland Islands, ,434516,1180307,-1.37344,60.504951,2169571.811,-1657290393
344,S12000028,South Ayrshire, ,226545,596271,-4.7289901,55.23008,333170.8094,-1234685178
345,S12000029,South Lanarkshire, ,284634,636071,-3.83272,55.60453,284510.5069,-1774022365
346,S12000030,Stirling, ,255980,708769,-4.3259501,56.249531,331998.3919,-2254812594
347,S12000033,Aberdeen City, ,387763,808479,-2.20398,57.166969,98893.78105,-205601358.7
348,S12000034,Aberdeenshire, ,352284,816277,-2.7920799,57.234692,792065.5828,-6338148953
349,S12000035,Argyll and Bute, ,200740,715443,-5.2211399,56.28944,3671132.643,-7165171363
350,S12000036,City of Edinburgh, ,320193,669416,-3.27826,55.91119,110748.3357,-273004212.6
351,S12000038,Renfrewshire, ,239305,664698,-4.5683398,55.848621,104232.9248,-269239603.3
352,S12000039,West Dunbartonshire, ,242904,681586,-4.52074,56.0014,84790.86745,-182782989
353,S12000040,West Lothian, ,299483,668514,-3.6090901,55.8992,137340.1998,-431590876.5
354,S12000041,Angus, ,345518,759594,-2.89189,56.7248,310666.7045,-2203892752
355,S12000042,Dundee City, ,340291,732145,-2.9709499,56.4776,54000.7562,-62223754.36
356,S12000045,East Dunbartonshire, ,261240,676154,-4.2241702,55.95829,99603.05458,-174489016.8
357,S12000047,Fife, ,339197,704726,-2.9823501,56.231171,354764.976,-1376187752
358,S12000048,Perth and Kinross, ,284304,744186,-3.8848,56.575291,567462.3624,-5418944381
359,S12000049,Glasgow City, ,261534,667033,-4.2147899,55.876492,108643.4057,-176355975.1
360,S12000050,North Lanarkshire, ,277984,665608,-3.9514,55.868141,163984.7247,-472309075.1
361,W06000001,Isle of Anglesey,Ynys Môn,245212,378343,-4.32306,53.279419,266311.6438,-749438473.5
362,W06000002,Gwynedd,Gwynedd,280555,334966,-3.7771499,52.89883,476833.7807,-2622957135
363,W06000003,Conwy,Conwy,283293,362563,-3.74646,53.147388,244710.262,-1153273217
364,W06000004,Denbighshire,Sir Ddinbych,309843,355416,-3.34761,53.088329,220778.4485,-846380174.1
365,W06000005,Flintshire,Sir y Fflint,321134,369280,-3.1824801,53.21471,143117.9284,-489500908.9
366,W06000006,Wrexham,Wrecsam,333523,345387,-2.9920299,53.001671,190040.818,-503773489.3
367,W06000008,Ceredigion,Ceredigion,267127,268437,-3.94993,52.297951,331695.0841,-1806029965
368,W06000009,Pembrokeshire,Sir Benfro,199821,221392,-4.9081802,51.855129,569566.2742,-1651195114
369,W06000010,Carmarthenshire,Sir Gaerfyrddin,247954,224133,-4.2111001,51.894951,363385.5732,-2438848984
370,W06000011,Swansea,Abertawe,264022,197308,-3.9672301,51.658058,153156.8842,-420826213.3
371,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,279261,195412,-3.7463801,51.644501,136743.7562,-451875355.8
372,W06000013,Bridgend,Pen-y-bont ar Ogwr,288231,185870,-3.61375,51.5606,90755.07528,-255120910.7
373,W06000014,Vale of Glamorgan,Bro Morgannwg,302946,173081,-3.39803,51.44836,102840.055,-339788798.1
374,W06000015,Cardiff,Caerdydd,315273,178887,-3.22208,51.502541,70142.22684,-149444877.6
375,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,302237,192395,-3.41359,51.621849,130240.6755,-424150424.4
376,W06000018,Caerphilly,Caerffili,317245,195259,-3.19753,51.650009,116205.7514,-277387812.5
377,W06000019,Blaenau Gwent,Blaenau Gwent,318236,206771,-3.18592,51.753639,65601.77107,-108728050
378,W06000020,Torfaen,Torfaen,327459,200480,-3.0510099,51.69836,82544.77597,-126239927.8
379,W06000021,Monmouthshire,Sir Fynwy,337812,209231,-2.9028001,51.778271,250901.9914,-886055855.6
380,W06000022,Newport,Casnewydd,337897,187432,-2.8976901,51.58231,135919.8627,-217455453.5
381,W06000023,Powys,Powys,302329,273255,-3.4353099,52.34864,606560.3674,-5195456316
382,W06000024,Merthyr Tydfil,Merthyr Tudful,305916,206424,-3.3642499,51.748581,66696.92959,-111957018.6
