LSOA code,LSOA name,LONG__y,LAT_y,Anti-social behaviour
E01009311,Birmingham 054E,-1.7918,52.4851,30
E01009312,Birmingham 072A,-1.79371,52.4624,7
E01009313,Birmingham 076D,-1.79695,52.4598,6
E01009314,Birmingham 069B,-1.78019,52.462,35
E01009315,Birmingham 081A,-1.78499,52.4558,40
E01009316,Birmingham 081B,-1.79185,52.4582,26
E01009317,Birmingham 081C,-1.77208,52.4622,19
E01009318,Birmingham 081D,-1.76268,52.459,3
E01009319,Birmingham 081E,-1.77574,52.4545,6
E01009320,Birmingham 081F,-1.76512,52.4536,29
E01009321,Birmingham 069C,-1.76823,52.4692,39
E01009322,Birmingham 069D,-1.77792,52.4717,52
E01009323,Birmingham 069E,-1.78413,52.4636,44
E01009324,Birmingham 072B,-1.79033,52.4662,27
E01009325,Birmingham 063A,-1.83718,52.4706,3
E01009326,Birmingham 066D,-1.83179,52.4704,16
E01009327,Birmingham 139B,-1.84399,52.4725,4
E01009328,Birmingham 139C,-1.84625,52.4725,11
E01009329,Birmingham 070A,-1.85449,52.4699,25
E01009331,Birmingham 139D,-1.8471,52.4753,17
E01009332,Birmingham 139E,-1.86172,52.473,86
E01009333,Birmingham 139F,-1.85148,52.4759,11
E01009334,Birmingham 070B,-1.84925,52.4688,8
E01009335,Birmingham 139G,-1.84206,52.464,48
E01009337,Birmingham 070C,-1.84822,52.4653,5
E01009338,Birmingham 070D,-1.84624,52.4631,14
E01009339,Birmingham 140A,-1.85579,52.4583,13
E01009340,Birmingham 140B,-1.84674,52.4544,20
E01009341,Birmingham 066E,-1.82725,52.4786,49
E01009342,Birmingham 063D,-1.83391,52.4774,25
E01009343,Birmingham 063E,-1.84178,52.4764,28
E01009344,Birmingham 139H,-1.85492,52.4751,16
E01009345,Birmingham 053D,-1.93862,52.492,58
E01009346,Birmingham 053E,-1.94226,52.4889,44
E01009347,Birmingham 049D,-1.91985,52.4876,24
E01009348,Birmingham 047A,-1.92706,52.4913,30
E01009349,Birmingham 036D,-1.95643,52.5061,28
E01009350,Birmingham 039B,-1.93371,52.507,20
E01009351,Birmingham 036E,-1.95215,52.5054,24
E01009352,Birmingham 039C,-1.92774,52.5039,25
E01009353,Birmingham 039D,-1.93135,52.5045,18
E01009354,Birmingham 036F,-1.94508,52.5035,34
E01009355,Birmingham 039E,-1.92278,52.5033,35
E01009358,Birmingham 047B,-1.92363,52.4983,32
E01009359,Birmingham 047C,-1.93236,52.5005,44
E01009360,Birmingham 047D,-1.92957,52.4951,32
E01009361,Birmingham 047E,-1.94148,52.496,33
E01009362,Birmingham 071A,-1.88963,52.4655,35
E01009363,Birmingham 071B,-1.86859,52.4674,37
E01009364,Birmingham 071C,-1.8855,52.4689,24
E01009365,Birmingham 071D,-1.87752,52.4679,42
E01009366,Birmingham 084A,-1.89445,52.4605,24
E01009367,Birmingham 083A,-1.88067,52.4609,39
E01009368,Birmingham 077A,-1.87075,52.4615,12
E01009371,Birmingham 077D,-1.87182,52.4596,63
E01009372,Birmingham 082A,-1.86492,52.4591,7
E01009373,Birmingham 082B,-1.86261,52.4579,12
E01009374,Birmingham 084B,-1.8888,52.4603,10
E01009375,Birmingham 083B,-1.8795,52.4578,17
E01009376,Birmingham 084C,-1.88788,52.4562,69
E01009377,Birmingham 083C,-1.87936,52.4552,12
E01009378,Birmingham 135A,-1.88735,52.4707,117
E01009379,Birmingham 071E,-1.86479,52.4706,65
E01009380,Birmingham 070E,-1.85985,52.4685,18
E01009382,Birmingham 140C,-1.86525,52.4494,36
E01009383,Birmingham 083D,-1.87517,52.4508,7
E01009384,Birmingham 092E,-1.88598,52.4516,17
E01009385,Birmingham 092F,-1.88402,52.4473,47
E01009389,Birmingham 093B,-1.87102,52.4488,6
E01009390,Birmingham 093C,-1.87683,52.4466,6
E01009391,Birmingham 140D,-1.85804,52.4476,19
E01009392,Birmingham 140E,-1.86668,52.4461,10
E01009393,Birmingham 140F,-1.85915,52.445,11
E01009394,Birmingham 093D,-1.87264,52.4443,8
E01009395,Birmingham 097F,-1.86303,52.4417,12
E01009396,Birmingham 082D,-1.86849,52.4549,28
E01009397,Birmingham 077E,-1.87317,52.4558,13
E01009399,Birmingham 083E,-1.87566,52.4533,11
E01009400,Birmingham 031E,-1.84007,52.5091,49
E01009401,Birmingham 031F,-1.85345,52.5098,17
E01009403,Birmingham 020A,-1.85297,52.5378,16
E01009404,Birmingham 020B,-1.85503,52.5355,15
E01009405,Birmingham 020C,-1.8518,52.5302,14
E01009406,Birmingham 020D,-1.8577,52.5322,27
E01009407,Birmingham 020E,-1.84699,52.5278,14
E01009408,Birmingham 026B,-1.85755,52.5257,12
E01009409,Birmingham 026C,-1.84918,52.5234,29
E01009410,Birmingham 026D,-1.86503,52.5238,66
E01009411,Birmingham 030B,-1.87014,52.5192,16
E01009412,Birmingham 030C,-1.85904,52.52,80
